# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20180101-20180627
# ----------------------------------------

Day Index,Users
1/1/18,10
1/2/18,26
1/3/18,27
1/4/18,36
1/5/18,24
1/6/18,26
1/7/18,22
1/8/18,39
1/9/18,45
1/10/18,45
1/11/18,48
1/12/18,41
1/13/18,15
1/14/18,19
1/15/18,43
1/16/18,52
1/17/18,71
1/18/18,43
1/19/18,36
1/20/18,22
1/21/18,19
1/22/18,57
1/23/18,56
1/24/18,55
1/25/18,49
1/26/18,45
1/27/18,26
1/28/18,30
1/29/18,67
1/30/18,73
1/31/18,90
2/1/18,76
2/2/18,63
2/3/18,24
2/4/18,30
2/5/18,91
2/6/18,113
2/7/18,103
2/8/18,106
2/9/18,86
2/10/18,39
2/11/18,56
2/12/18,101
2/13/18,117
2/14/18,99
2/15/18,111
2/16/18,94
2/17/18,37
2/18/18,42
2/19/18,121
2/20/18,128
2/21/18,138
2/22/18,152
2/23/18,123
2/24/18,54
2/25/18,56
2/26/18,160
2/27/18,150
2/28/18,146
3/1/18,122
3/2/18,121
3/3/18,55
3/4/18,56
3/5/18,136
3/6/18,165
3/7/18,157
3/8/18,169
3/9/18,122
3/10/18,59
3/11/18,79
3/12/18,144
3/13/18,146
3/14/18,164
3/15/18,161
3/16/18,173
3/17/18,72
3/18/18,79
3/19/18,239
3/20/18,252
3/21/18,224
3/22/18,227
3/23/18,214
3/24/18,93
3/25/18,110
3/26/18,301
3/27/18,257
3/28/18,271
3/29/18,239
3/30/18,159
3/31/18,96
4/1/18,93
4/2/18,206
4/3/18,171
4/4/18,209
4/5/18,187
4/6/18,164
4/7/18,73
4/8/18,78
4/9/18,182
4/10/18,185
4/11/18,193
4/12/18,189
4/13/18,192
4/14/18,60
4/15/18,87
4/16/18,230
4/17/18,247
4/18/18,259
4/19/18,250
4/20/18,212
4/21/18,77
4/22/18,140
4/23/18,336
4/24/18,361
4/25/18,359
4/26/18,334
4/27/18,247
4/28/18,104
4/29/18,128
4/30/18,245
5/1/18,223
5/2/18,298
5/3/18,286
5/4/18,242
5/5/18,102
5/6/18,89
5/7/18,276
5/8/18,293
5/9/18,291
5/10/18,280
5/11/18,261
5/12/18,92
5/13/18,121
5/14/18,386
5/15/18,425
5/16/18,421
5/17/18,434
5/18/18,381
5/19/18,136
5/20/18,192
5/21/18,477
5/22/18,505
5/23/18,507
5/24/18,509
5/25/18,467
5/26/18,155
5/27/18,189
5/28/18,472
5/29/18,519
5/30/18,561
5/31/18,493
6/1/18,465
6/2/18,179
6/3/18,198
6/4/18,522
6/5/18,573
6/6/18,591
6/7/18,588
6/8/18,448
6/9/18,184
6/10/18,196
6/11/18,531
6/12/18,529
6/13/18,554
6/14/18,533
6/15/18,399
6/16/18,175
6/17/18,166
6/18/18,524
6/19/18,537
6/20/18,535
6/21/18,540
6/22/18,454
6/23/18,188
6/24/18,175
6/25/18,533
6/26/18,554
6/27/18,511
,"35,998"
