# ----------------------------------------
# All Web Site Data
# Pages
# 20180627-20180627
# ----------------------------------------

Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2017/09/14/lodash-find/,20180627,104,100,00:07:16,99,90.91%,90.38%,$0.00
/2018/02/02/lodash_map/,20180627,53,51,00:23:57,50,98.00%,96.23%,$0.00
/2017/11/21/lodash_includes/,20180627,51,50,00:14:40,45,95.56%,96.08%,$0.00
/2017/09/19/lodash_remove/,20180627,39,38,00:01:04,38,97.37%,97.44%,$0.00
/2018/01/10/nodejs-axios/,20180627,29,28,00:00:08,27,96.30%,96.55%,$0.00
/2017/11/28/nodejs-glob/,20180627,23,23,00:00:00,23,100.00%,100.00%,$0.00
/2017/11/20/lodash_foreach/,20180627,20,18,00:00:40,18,83.33%,85.00%,$0.00
/2018/02/09/lodash-find-index/,20180627,17,17,00:00:00,16,100.00%,100.00%,$0.00
/2017/11/22/lodash_partition/,20180627,13,11,00:11:05,11,81.82%,84.62%,$0.00
/2017/10/11/lodash_times/,20180627,10,10,00:00:00,9,100.00%,100.00%,$0.00
/2017/08/02/nodejs-js-yaml/,20180627,9,8,00:02:47,8,87.50%,88.89%,$0.00
/2018/04/07/threejs-camera-perspective/,20180627,9,6,00:01:10,6,50.00%,66.67%,$0.00
/,20180627,8,7,00:00:14,3,33.33%,25.00%,$0.00
/2017/09/24/lodash_forown/,20180627,8,8,00:00:00,8,100.00%,100.00%,$0.00
/2017/11/02/backbone-model-defaults/,20180627,8,8,00:00:00,8,100.00%,100.00%,$0.00
/2018/04/16/threejs-fog/,20180627,8,7,00:07:05,7,85.71%,87.50%,$0.00
/2017/11/06/nodejs-html-to-json/,20180627,7,7,00:00:00,7,100.00%,100.00%,$0.00
/2017/11/19/nodejs-marked/,20180627,7,7,00:00:00,7,100.00%,100.00%,$0.00
/2017/12/07/nodejs-ejs-javascript-templates/,20180627,7,7,00:00:00,7,100.00%,100.00%,$0.00
/2017/05/14/nodejs-rimraf/,20180627,6,6,00:00:00,6,100.00%,100.00%,$0.00
/2017/09/25/lodash_drop/,20180627,6,6,00:00:00,6,100.00%,100.00%,$0.00
/2017/04/10/nodejs-jimp/,20180627,5,4,00:17:04,4,75.00%,80.00%,$0.00
/2017/05/29/nodejs-big-integer/,20180627,5,5,00:00:00,5,100.00%,100.00%,$0.00
/2017/09/13/lodash-chunk/,20180627,5,5,00:00:00,5,100.00%,100.00%,$0.00
/2017/11/13/lodash_clonedeep/,20180627,5,4,00:00:00,4,75.00%,80.00%,$0.00
/2017/12/28/nodejs-lowdb/,20180627,5,5,00:01:49,5,80.00%,80.00%,$0.00
/2018/02/15/nodejs-filesystem-stat/,20180627,5,5,00:00:00,5,100.00%,100.00%,$0.00
/2018/04/13/threejs-orbit-controls/,20180627,5,5,00:00:00,5,100.00%,100.00%,$0.00
/2017/09/02/js-whats-wrong-with-modulo/,20180627,4,4,00:00:00,4,100.00%,100.00%,$0.00
